,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness","Biased Happiness, Purchasing, then Safety","Biased Happiness, Safety, then Purchasing","Biased Purchasing, Happiness, then Safety","Biased Purchasing, Safety, then Happiness","Biased Safety, Purchasing, then Happiness","Biased Safety, Happiness, then Purchasing"
40,40,40,40,42,El Salvador,6120.0,21.17,44.37,San Salvador,13.7,-89.2,32.0,69.79,30.21,0.6859885545504892,0.1084326306141155,0.2051912370761333,2.0752833443610164,0.2889517047693059,-1.644414719648978,-0.9975168612519912,1.752628516431818,3.8840736455080114,4.296642602281049,2.961897896879364,2.7948603751510896,3.62806268052696,4.18324551237287
41,41,41,41,43,Hungary,6086.0,51.98,40.66,Budapest,47.5,19.083333,318.0,35.06,64.94,0.6797120177219863,0.3908340971585701,0.7073964283132095,2.426805784853441,0.2571861004612877,0.6381719279974517,0.1504537823408122,2.0704493467584766,4.13116064354696,4.585087484979157,3.3868600037285472,3.3950242276070113,4.144541700255437,4.591121438831142
42,42,42,42,45,Uzbekistan,6063.0,22.37,27.31,Tashkent,41.31666666666667,69.25,329.0,33.86,66.14,0.6754661251615285,0.1194317140238313,0.7247487528016775,2.407531709275996,0.2356976034293932,0.7170404559898421,-0.9528052490380554,2.3201323964854725,4.067046254317686,4.57685164031115,3.2033190062823613,3.2186671016571617,4.0912095699585125,4.587606804500487
43,43,43,43,46,Japan,6039.0,87.11,77.03,Tokyo,35.68333333333333,139.75,381.0,28.07,71.93,0.671035628576703,0.7128322639780018,0.8084737184585353,2.563409272608645,0.213274823917851,1.0975811035531258,1.4593862299037852,2.828725941544855,4.33354348344479,4.676767799465766,3.8701649898413137,3.9055157442208683,4.396515834434597,4.706063453660982
44,44,44,44,47,Honduras,6022.0,32.09,40.46,Tegucigalpa,14.1,-87.216667,4.0,80.87,19.13,0.6678973601624515,0.2085242896425298,0.044971440965946,1.979224417756168,0.197392021763842,-2.3726341281120487,-0.5906411901051747,1.9148705227483351,3.8365825775818787,4.204623837922239,2.9327432637608286,2.7120345154037966,3.496807429330187,4.053764889584857
45,45,45,45,48,Portugal,6016.0,46.8,47.94,Lisbon,38.71666666666667,-9.133333,278.3333333333333,39.16666666666666,60.833333333333336,0.6667897360162451,0.3433547204399633,0.6480129178415636,2.368971731682372,0.1917863268859564,0.3682662988679384,-0.0425513437160109,1.8150256004867047,4.078340765767418,4.535990723674188,3.2998100324003357,3.29411484523241,4.069122279929868,4.531849314453087
46,46,46,46,49,Argentina,5967.0,30.72,34.69,Buenos Aires,-34.583333333333336,-58.666667,51.66666666666666,66.27333333333333,33.72666666666667,0.6577441388222264,0.1959670027497708,0.2560431880076157,2.089057966191103,0.1460064853832245,-1.4132861167823898,-0.6416869473827517,1.37691627098632,3.8872032285301987,4.302002570595541,2.997811867526845,2.8606772085391894,3.6747170144974644,4.20759126054105
47,47,47,47,50,Greece,5948.0,39.73,56.22,Athens,37.98333333333333,23.733333,112.5,55.61,44.39,0.6542366623592394,0.278551787351054,0.410237871448196,2.191543037997804,0.1282551182699203,-0.7124516138722324,-0.3059772590097832,1.203854546570347,3.956334266912112,4.386374730883123,3.1196254579687697,3.040405469042701,3.8310032195103707,4.330390940539653
48,48,48,48,51,South Korea,5935.0,76.85,73.22,Seoul,37.55,126.983333,406.0,25.38,74.62,0.651836810042459,0.6187901008249312,0.8473718458535175,2.5542609053779937,0.1161094460345016,1.274378053802734,1.0771019454746331,2.7529337856352805,4.275546699493415,4.671866832928704,3.7270808823875496,3.779180066559527,4.366055396212153,4.713534743294187
49,49,49,49,52,Philippines,5904.0,21.47,37.06,Manila,14.6,120.966667,212.7142857142857,46.040000000000006,53.96,0.6461140852870593,0.1111824014665444,0.5486226592437278,2.2628047306162844,0.0871466891654263,-0.0834751031329195,-0.9863389581985076,1.730540479388066,3.9675970270725927,4.449942348900166,3.0840566840835617,3.0522815693434695,3.9181450285896706,4.427979681124166
50,50,50,50,53,Thailand,5891.0,31.56,43.21,Bangkok,13.75,100.516667,296.6666666666667,37.11333333333334,62.88666666666666,0.6437142329702787,0.2036663611365719,0.6777046730773865,2.357534609797571,0.0750010169300076,0.5032191134326948,-0.6103888188329966,1.9462449484960185,4.032030050514298,4.52639323462172,3.190178332884048,3.200815314231213,4.048855157779637,4.533896403166209
51,51,51,51,54,Moldova,5857.0,33.43,30.35,Chisinau,47.0,28.85,228.0,44.74,55.26,0.6374376961417759,0.2208065994500458,0.5674210107729014,2.27744734036138,0.0432354126219895,0.0019658021921697,-0.5407132231329465,1.5442300296853415,3.985321045507916,4.457730273831295,3.1387395902317574,3.116352490420567,3.9500274801946387,4.4419957027775565
52,52,52,52,55,Jamaica,5850.0,30.25,49.67,Kingston,18.0,-76.8,24.0,71.44,28.56,0.6361454679712018,0.1916590284142988,0.1813317909044899,2.027128504988528,0.0366954352644564,-1.7528589456385149,-0.6591989954998765,1.4408599283740746,3.8423991720199986,4.244584246947022,2.9454042807501204,2.786714736554086,3.597885029968735,4.13604497984456
53,53,53,53,56,Colombia,5781.0,28.85,26.72,Bogota,4.6,-74.083333,73.0,62.68,37.32,0.6234077902898283,0.178826764436297,0.3080037596703058,2.092440130700066,-0.0277700558312272,-1.1771186912940654,-0.7113625430828017,1.217636547926091,3.8688336610352856,4.299760967898569,2.980092846636462,2.8723066189623214,3.702196344642137,4.225770500136631
54,54,54,54,57,Mongolia,5761.0,24.34,34.74,Ulaanbaatar,47.91666666666666,106.916667,111.0,55.34,44.66,0.6197157098024737,0.1374885426214482,0.4141421444581013,2.1545719028766848,-0.046455705424179,-0.6947061950739448,-0.8794036856535108,1.3325921624357946,3.8958634757819817,4.353082495518751,3.005467733829123,2.9362713036092596,3.7888597177191152,4.305598690322057
55,55,55,55,58,Dominican Republic,5737.0,21.07,41.77,Santo Domingo,18.466666666666665,-69.9,37.0,68.37,31.63,0.6152852132176482,0.1075160403299725,0.2257248210541537,2.03054361093675,-0.0688784849357212,-1.5510869615246496,-1.001242828936486,1.4741680085644262,3.823470583850667,4.246845635397519,2.9062269996986196,2.768941059222867,3.6139570745814593,4.154103641770143
56,56,56,56,59,Malaysia,5711.0,55.3,37.02,Kuala Lumpur,3.1666666666666665,101.7,154.66666666666666,52.39000000000001,47.60999999999999,0.6104855085840871,0.4212648945921173,0.4567999421589183,2.212101660468904,-0.0931698294065586,-0.5008210637593189,0.2741559094660349,1.0708324011627854,3.9834317020419405,4.387360900917939,3.2456243875012887,3.1979222210511593,3.905507119329329,4.352190775006666
57,57,57,57,61,China,5585.0,59.99,41.77,Beijing,39.91666666666666,116.383333,333.5,33.53,66.47,0.587225401513753,0.4642529789184235,0.7295206420360061,2.392918083611256,-0.2108894218421549,0.7387293011877494,0.4489037938688345,1.961476409116174,4.089199316031522,4.531445668327138,3.409509405380532,3.4509918670467505,4.158212597778243,4.562739344521589
58,58,58,58,62,Paraguay,5578.0,26.08,30.2,Asuncion,-25.266666666666666,-57.666667,170.0,49.29,50.71,0.5859331733431788,0.1534372135655362,0.5016267804207938,2.1894314322430923,-0.2174293991996881,-0.2970773664456433,-0.8145718479433038,1.330430106943511,3.899739943302248,4.374996714365434,3.0255280813825616,2.997533550335955,3.8562606309347767,4.355684040981803
59,59,59,59,63,Peru,5559.0,28.17,32.53,Lima,-12.05,-77.05,28.0,70.7,29.3,0.582425696880192,0.1725939505041246,0.1920323910057118,1.988668142024751,-0.2351807663129923,-1.7042233533765407,-0.7366991233373653,1.2742074360105282,3.79128867034374,4.20339964179429,2.891013965180646,2.752666913217173,3.579426847747958,4.10947465461066
60,60,60,60,64,Montenegro,5547.0,34.19,38.95,Podgorica,42.43333333333333,19.266667,193.0,47.2,52.8,0.5802104485877793,0.2277726856095325,0.5318487455715422,2.2125790465980817,-0.2463921560687634,-0.1597146801922304,-0.5123958687307871,1.2395780440986806,3.920712820486261,4.390904841025262,3.077494127549014,3.0617391624804022,3.895964862349298,4.379876929424685
61,61,61,61,65,Ecuador,5533.0,31.76,37.34,Quito,-0.2166666666666666,-78.5,119.33333333333331,57.623333333333335,42.376666666666665,0.577625992246631,0.2054995417048579,0.3811245270286554,2.106807725496848,-0.2594721107838297,-0.8447754775039097,-0.6029368834640072,0.9674756289087522,3.8569201373793627,4.30248670134575,2.9886002191383367,2.9221102544903683,3.753641842964049,4.256570084565868
62,62,62,62,66,Vietnam,5485.0,29.38,37.48,Hanoi,21.03333333333333,105.85,207.5,45.865,54.135000000000005,0.5687649990769799,0.1836846929422548,0.5511532065649629,2.213784081383515,-0.304317669806914,-0.0719734428006957,-0.6916149143549801,1.3503845323345207,3.9085956755027564,4.390695431070675,3.0509491127371065,3.045171079510526,3.899573436224887,4.38668243475646
63,63,63,63,67,Russia,5459.0,37.41,35.26,Moscow,55.75,37.6,235.1428571428572,43.39142857142857,56.60857142857143,0.5639652944434189,0.2572868927589367,0.5869217182932749,2.242878625204654,-0.3286090142777513,0.0905990050788562,-0.3924197092900592,1.339464547432062,3.9350927995067972,4.411372704925321,3.1125564216205217,3.1199231281348676,3.946743092238164,4.4165735575737735
64,64,64,64,68,Armenia,5399.0,28.86,33.89,Yerevan,40.16666666666666,44.5,428.0,21.66,78.34,0.552889052981355,0.1789184234647113,0.901164051767768,2.4612803507236767,-0.3846659630566068,1.518870490579144,-0.7109899463143523,2.6886523072148165,4.0454286031951145,4.590401429103932,3.2279673927817107,3.3341150979584944,4.214094514684599,4.665654860562689
65,65,65,65,69,Nepal,5377.0,22.96,28.29,Kathmandu,27.716666666666665,85.316667,294.0,37.25,62.75,0.5488277644452649,0.1248395967002749,0.6757284361217555,2.285282949756522,-0.4052201776088537,0.4942368644113394,-0.930822039699537,1.8582078768748889,3.9325035273908897,4.446266533899249,3.0732479705635045,3.114266275051907,3.9965218227413386,4.474716464070704
66,66,66,66,70,Bulgaria,5371.0,45.96,38.38,Sofia,42.68333333333333,23.316667,272.5,39.63,60.37,0.5477201402990585,0.3356553620531623,0.6413129925529606,2.2807916376305686,-0.4108258724867393,0.3378142838930985,-0.0738494722657659,1.463669004684238,3.966217924132118,4.435709305239432,3.1935508374666535,3.2227244151481163,4.013135436379203,4.456759220004542
67,67,67,67,71,Indonesia,5240.0,21.07,35.85,Jakarta,-6.166666666666667,106.816667,159.0,50.83,49.17,0.5235370131068857,0.1075160403299725,0.4793579639939268,2.126317171747231,-0.5332168773205737,-0.3982919773692109,-1.001242828936486,1.2579452415003398,3.82753861692856,4.30976666367015,2.942919695218815,2.9278692310758836,3.8043837434764067,4.299503529136431
68,68,68,68,72,Albania,5199.0,30.19,35.5,Tirana,41.31666666666667,19.816667,230.0,44.5,55.5,0.5159682481078087,0.191109074243813,0.5708914756705951,2.1914338766807284,-0.5715224589861249,0.0177395077906479,-0.6614345761105733,1.287199443499655,3.869860910041877,4.359820911417848,3.0210098242386043,3.039135866207981,3.898142682524754,4.372400351610305
69,69,69,69,73,South Africa,5194.0,78.36,42.09,Pretoria,-25.7,28.216667,12.166666666666666,77.33666666666666,22.66333333333333,0.5150452279859701,0.6326306141154904,0.0960643964042127,1.9740670449161888,-0.5761938713843628,-2.140410129023344,1.1333640575105028,1.6627269721418136,3.893300154305656,4.141165343544791,3.3359860768782017,3.207934139280559,3.671765619588131,4.038723652270965
